Warehouse_Type,Container_Index,Container_X,Container_Y,Container_Z,Product_ID,Product_X,Product_Y,Product_Z,Product_Width,Product_Depth,Product_Height,Client_id
high_regular,0,0,0,0,p16,0,0,0,1200,800,3600,c16
high_regular,1,1200,0,0,p16,1200,0,0,1200,800,3600,c16
high_regular,2,2400,0,0,p16,2400,0,0,1200,800,3600,c16
high_regular,3,0,1000,0,p16,0,1000,0,1200,800,3600,c16
high_regular,4,1200,1000,0,p16,1200,1000,0,1200,800,3600,c16
high_regular,5,2400,1000,0,p20,2400,1000,0,900,500,1000,c20
high_regular,5,2400,1000,0,p20,2400,1000,1000,900,500,1000,c20
high_regular,5,2400,1000,0,p20,2400,1000,2000,900,500,1000,c20
high_regular,6,0,2000,0,p20,0,2000,0,900,500,1000,c20
regular_cold,0,0,0,0,p17,0,0,0,600,400,300,c17
regular_cold,0,0,0,0,p17,0,400,0,600,400,300,c17
regular_cold,0,0,0,0,p17,600,0,0,600,400,300,c17
regular_cold,0,0,0,0,p17,600,400,0,600,400,300,c17
regular_cold,0,0,0,0,p17,0,0,300,600,400,300,c17
regular_cold,0,0,0,0,p17,0,400,300,600,400,300,c17
regular_cold,0,0,0,0,p17,600,0,300,600,400,300,c17
high_cold,0,0,0,0,p18,0,0,0,800,700,1200,c18
high_cold,0,0,0,0,p18,0,0,1200,800,700,1200,c18
high_cold,1,1200,0,0,p18,1200,0,0,800,700,1200,c18
regular_regular,0,0,0,0,p19,0,0,0,1000,600,2000,c19
regular_regular,1,1200,0,0,p19,1200,0,0,1000,600,2000,c19
regular_regular,2,2400,0,0,p19,2400,0,0,1000,600,2000,c19
regular_regular,3,0,1000,0,p19,0,1000,0,1000,600,2000,c19
regular_regular,4,1200,1000,0,p19,1200,1000,0,1000,600,2000,c19
regular_regular,5,2400,1000,0,p19,2400,1000,0,1000,600,2000,c19
regular_regular,6,0,2000,0,p19,0,2000,0,1000,600,2000,c19
regular_regular,7,1200,2000,0,p19,1200,2000,0,1000,600,2000,c19
